studnr_a,Cijfer,cohort,cohort_blok,vooropl_type,profiel,vooropl_profiel,w1_prac,w2_prac,w3_prac,w4_prac,w5_prac,w6_prac,w1_quiz,w2_quiz,w3_quiz,w4_quiz,w5_quiz,w6_quiz,w7_oefen_toets,Category_total,CorrectUnassigned,IncorrectUnassigned,W1_MMLAttemps,W1_MMLMastery,W2_MMLAttemps,W2_MMLMastery,W3_MMLAttemps,W3_MMLMastery,W4_MMLAttemps,W4_MMLMastery,W5_MMLAttemps,W5_MMLMastery,W6_MMLAttemps,W6_MMLMastery,W8_MMLAttemps,W8_MMLMastery,Course,complete,Hoursviewed
711903,9.5,14151,14151,1,2,12,1,1,1,1,1,1,7.78,3,4.46,7,40,0,0,0,213,1,38,100,123,100,113,100,85,100,48,100,159,100,16,100, , , 
713406,9.5,14151,14151,1,2,12,1,1,1,1,1,1,10,9,9,9.5,0,8.08,0,0,225,0,29,100,90,100,72,100,51,100,61,100,94,100,8,100, , , 
713987,9.5,14151,14151,5,0,50,1,1,1,1,1,1,8.89,0,0,7,0,6.28,0,0,225,0,46,100,97,100,122,100,54,100,46,100,90,100,8,100, , , 
714433,9.5,14151,14151,1,5,15,1,1,1,1,1,1,6.67,6,8,8,0,8.46,0,0,222,2,64,100,116,100,88,100,76,100,66,95.65217391,172,100,5,100, , , 
714801,9.5,14151,14151,1,5,15,1,1,1,1,1,1,10,6,7.25,9,0,7.05,0,0,220,0,33,100,174,100,145,100,74,100,46,100,76,100,8,100, , , 
715290,9.5,14151,14151,3,9,39,1,1,1,1,1,1,8.89,5,6.5,5,0,8.21,0,0,225,0,44,100,125,100,97,100,57,100,38,100,73,100,7,100, , , 
715808,9.5,14151,14151,3,3,33,0,0,0,0,0,1,7.78,9,5,6,80,9.23,0,0,219,0,43,94.44444444,121,100,102,100,55,100,68,100,115,100,12,100, , , 
717895,9.5,14151,14151,2,1,21,1,1,1,1,1,1,7.78,8,5.25,4,0,9.23,0,0,17,1,32,100,0,0,0,0,0,0,0,0,0,0,0,0, , , 
721669,9.5,14151,14151,1,2,12,1,1,1,1,1,1,8.89,9,8,9.5,0,8.85,0,0,219,0,41,100,72,98.14814815,81,100,49,100,53,100,110,100,6,100, , , 
652641,9.6,1314,1314,1,2,12,0,0,0,0,0,0,1,4,4,2.33,7,0,0,2.82,250,0,41,100,147,100,329,100,33,100,127,100,113,100, , , , , 
662290,9.6,1314,1314,1,4,14,0,0,0,0,0,0,3,1.63,5,5.57,4,0,0,2.95,55,192,29,88,77,100,79,100,6,100,55,100,49,100, , , , , 
